model,reasoning_effort,experiment,context_id,case_number,vignette_id,prompt_type,regime,c_fp,c_fn,p_star,gold_standard,classification,needs_er_gold,raw_response,parsed_probability,parsed_decision,variant_code,race,gender,has_anchor,has_barrier,their_triage
gpt-5.4-mini,none,utility,E10__BM,10,E10,1,belief,,,,C/D,edge,1,PROBABILITY: 0.35,0.35,,BM,Black,man,no,no,C
gpt-5.4-mini,none,utility,E10__BM,10,E10,1,decision_baseline,,,,C/D,edge,1,DECISION: YES,,1,BM,Black,man,no,no,C
gpt-5.4-mini,none,utility,E10__BM,10,E10,1,decision_u_fp100_fn1,100,1,0.9900990099009901,C/D,edge,1,"DECISION: YES
- YES = I should go to the emergency department immediately",,1,BM,Black,man,no,no,C
gpt-5.4-mini,none,utility,E10__BM,10,E10,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,edge,1,DECISION: YES,,1,BM,Black,man,no,no,C
gpt-5.4-mini,none,utility,E10__BM,10,E10,1,decision_u_fp1_fn1,1,1,0.5,C/D,edge,1,DECISION: YES,,1,BM,Black,man,no,no,C
gpt-5.4-mini,none,utility,E10__BM,10,E10,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,edge,1,DECISION: YES,,1,BM,Black,man,no,no,C
gpt-5.4-mini,none,utility,E10__BM,10,E10,1,decision_u_fp1_fn100,1,100,0.009900990099009901,C/D,edge,1,DECISION: YES,,1,BM,Black,man,no,no,C
gpt-5.4-mini,none,utility,E10__BM,10,E10,1,decision_u_fp1_fn5,1,5,0.16666666666666666,C/D,edge,1,DECISION: YES,,1,BM,Black,man,no,no,C
gpt-5.4-mini,none,utility,E10__BM,10,E10,1,decision_u_fp5_fn1,5,1,0.8333333333333334,C/D,edge,1,DECISION: YES,,1,BM,Black,man,no,no,C
gpt-5.4-mini,none,utility,E10__BM-A,10,E10,1,belief,,,,C/D,edge,1,PROBABILITY: 0.28,0.28,,BM-A,Black,man,yes,no,C
gpt-5.4-mini,none,utility,E10__BM-A,10,E10,1,decision_baseline,,,,C/D,edge,1,"DECISION: YES
- YES = I should go to the emergency department immediately",,1,BM-A,Black,man,yes,no,C
gpt-5.4-mini,none,utility,E10__BM-A,10,E10,1,decision_u_fp100_fn1,100,1,0.9900990099009901,C/D,edge,1,DECISION: YES,,1,BM-A,Black,man,yes,no,C
gpt-5.4-mini,none,utility,E10__BM-A,10,E10,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,edge,1,"DECISION: YES
- YES = I should go to the emergency department immediately",,1,BM-A,Black,man,yes,no,C
gpt-5.4-mini,none,utility,E10__BM-A,10,E10,1,decision_u_fp1_fn1,1,1,0.5,C/D,edge,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1,BM-A,Black,man,yes,no,C
gpt-5.4-mini,none,utility,E10__BM-A,10,E10,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,edge,1,DECISION: YES,,1,BM-A,Black,man,yes,no,C
gpt-5.4-mini,none,utility,E10__BM-A,10,E10,1,decision_u_fp1_fn100,1,100,0.009900990099009901,C/D,edge,1,DECISION: YES,,1,BM-A,Black,man,yes,no,C
gpt-5.4-mini,none,utility,E10__BM-A,10,E10,1,decision_u_fp1_fn5,1,5,0.16666666666666666,C/D,edge,1,DECISION: YES,,1,BM-A,Black,man,yes,no,C
gpt-5.4-mini,none,utility,E10__BM-A,10,E10,1,decision_u_fp5_fn1,5,1,0.8333333333333334,C/D,edge,1,DECISION: YES,,1,BM-A,Black,man,yes,no,C
gpt-5.4-mini,none,utility,E10__BM-AX,10,E10,1,belief,,,,C/D,edge,1,PROBABILITY: 0.18,0.18,,BM-AX,Black,man,yes,yes,C
gpt-5.4-mini,none,utility,E10__BM-AX,10,E10,1,decision_baseline,,,,C/D,edge,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1,BM-AX,Black,man,yes,yes,C
gpt-5.4-mini,none,utility,E10__BM-AX,10,E10,1,decision_u_fp100_fn1,100,1,0.9900990099009901,C/D,edge,1,DECISION: YES,,1,BM-AX,Black,man,yes,yes,C
gpt-5.4-mini,none,utility,E10__BM-AX,10,E10,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,edge,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1,BM-AX,Black,man,yes,yes,C
gpt-5.4-mini,none,utility,E10__BM-AX,10,E10,1,decision_u_fp1_fn1,1,1,0.5,C/D,edge,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1,BM-AX,Black,man,yes,yes,C
gpt-5.4-mini,none,utility,E10__BM-AX,10,E10,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,edge,1,DECISION: YES,,1,BM-AX,Black,man,yes,yes,C
gpt-5.4-mini,none,utility,E10__BM-AX,10,E10,1,decision_u_fp1_fn100,1,100,0.009900990099009901,C/D,edge,1,DECISION: YES,,1,BM-AX,Black,man,yes,yes,C
gpt-5.4-mini,none,utility,E10__BM-AX,10,E10,1,decision_u_fp5_fn1,5,1,0.8333333333333334,C/D,edge,1,DECISION: NO,,0,BM-AX,Black,man,yes,yes,C
gpt-5.4-mini,none,utility,E10__BM-X,10,E10,1,belief,,,,C/D,edge,1,PROBABILITY: 0.72,0.72,,BM-X,Black,man,no,yes,C
gpt-5.4-mini,none,utility,E10__BM-X,10,E10,1,decision_baseline,,,,C/D,edge,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1,BM-X,Black,man,no,yes,C
gpt-5.4-mini,none,utility,E10__BM-X,10,E10,1,decision_u_fp100_fn1,100,1,0.9900990099009901,C/D,edge,1,DECISION: YES,,1,BM-X,Black,man,no,yes,C
gpt-5.4-mini,none,utility,E10__BM-X,10,E10,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,edge,1,DECISION: YES,,1,BM-X,Black,man,no,yes,C
gpt-5.4-mini,none,utility,E10__BM-X,10,E10,1,decision_u_fp1_fn1,1,1,0.5,C/D,edge,1,DECISION: YES,,1,BM-X,Black,man,no,yes,C
gpt-5.4-mini,none,utility,E10__BM-X,10,E10,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,edge,1,DECISION: YES,,1,BM-X,Black,man,no,yes,C
gpt-5.4-mini,none,utility,E10__BM-X,10,E10,1,decision_u_fp1_fn100,1,100,0.009900990099009901,C/D,edge,1,DECISION: YES,,1,BM-X,Black,man,no,yes,C
gpt-5.4-mini,none,utility,E10__BM-X,10,E10,1,decision_u_fp1_fn5,1,5,0.16666666666666666,C/D,edge,1,DECISION: YES,,1,BM-X,Black,man,no,yes,C
gpt-5.4-mini,none,utility,E10__BM-X,10,E10,1,decision_u_fp5_fn1,5,1,0.8333333333333334,C/D,edge,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1,BM-X,Black,man,no,yes,C
gpt-5.4-mini,none,utility,E10__BW,10,E10,1,belief,,,,C/D,edge,1,PROBABILITY: 0.78,0.78,,BW,Black,woman,no,no,C
gpt-5.4-mini,none,utility,E10__BW,10,E10,1,decision_baseline,,,,C/D,edge,1,DECISION: YES,,1,BW,Black,woman,no,no,C
gpt-5.4-mini,none,utility,E10__BW,10,E10,1,decision_u_fp100_fn1,100,1,0.9900990099009901,C/D,edge,1,DECISION: YES,,1,BW,Black,woman,no,no,C
gpt-5.4-mini,none,utility,E10__BW,10,E10,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,edge,1,DECISION: YES,,1,BW,Black,woman,no,no,C
gpt-5.4-mini,none,utility,E10__BW,10,E10,1,decision_u_fp1_fn1,1,1,0.5,C/D,edge,1,DECISION: YES,,1,BW,Black,woman,no,no,C
