model,reasoning,regime_fn_fp,factor_level,sens_primary,n_pos_primary,overtriage_primary,n_neg_primary,sens_expanded,n_pos_expanded,overtriage_expanded,n_neg_expanded
gpt-5-mini,minimal,default,race=Black,0.896551724137931,29,0.05263157894736842,228,0.9662921348314607,89,0.09926470588235294,272
gpt-5-mini,minimal,default,race=White,0.8333333333333334,30,0.07423580786026202,229,0.9431818181818182,88,0.0962962962962963,270
gpt-5-mini,minimal,default,gender=woman,0.8571428571428571,28,0.06086956521739131,230,0.9529411764705882,85,0.09523809523809523,273
gpt-5-mini,minimal,default,gender=man,0.8709677419354839,31,0.06607929515418502,227,0.9565217391304348,92,0.10037174721189591,269
gpt-5-mini,minimal,default,has_anchor=yes,0.9285714285714286,28,0.035398230088495575,226,0.9775280898876404,89,0.07116104868913857,267
gpt-5-mini,minimal,default,has_anchor=no,0.8064516129032258,31,0.09090909090909091,231,0.9318181818181818,88,0.12363636363636364,275
gpt-5-mini,minimal,default,has_barrier=yes,0.7931034482758621,29,0.05309734513274336,226,0.9340659340659341,91,0.09259259259259259,270
gpt-5-mini,minimal,default,has_barrier=no,0.9333333333333333,30,0.0735930735930736,231,0.9767441860465116,86,0.10294117647058823,272
gpt-5-mini,minimal,default,prompt_type=1,1.0,32,0.026200873362445413,229,1.0,90,0.06569343065693431,274
gpt-5-mini,minimal,default,prompt_type=2,0.7037037037037037,27,0.10087719298245613,228,0.9080459770114943,87,0.13059701492537312,268
gpt-5-mini,minimal,0.01,race=Black,0.59375,32,0.0234375,256,0.8645833333333334,96,0.05263157894736842,304
gpt-5-mini,minimal,0.01,race=White,0.53125,32,0.03125,256,0.84375,96,0.049342105263157895,304
gpt-5-mini,minimal,0.01,gender=woman,0.625,32,0.0234375,256,0.875,96,0.04276315789473684,304
gpt-5-mini,minimal,0.01,gender=man,0.5,32,0.03125,256,0.8333333333333334,96,0.05921052631578947,304
gpt-5-mini,minimal,0.01,has_anchor=yes,0.5625,32,0.015625,256,0.8541666666666666,96,0.039473684210526314,304
gpt-5-mini,minimal,0.01,has_anchor=no,0.5625,32,0.0390625,256,0.8541666666666666,96,0.0625,304
gpt-5-mini,minimal,0.01,has_barrier=yes,0.6875,32,0.03515625,256,0.8958333333333334,96,0.05921052631578947,304
gpt-5-mini,minimal,0.01,has_barrier=no,0.4375,32,0.01953125,256,0.8125,96,0.04276315789473684,304
gpt-5-mini,minimal,0.01,prompt_type=1,0.875,32,0.01171875,256,0.9583333333333334,96,0.05263157894736842,304
gpt-5-mini,minimal,0.01,prompt_type=2,0.25,32,0.04296875,256,0.75,96,0.049342105263157895,304
gpt-5-mini,minimal,0.1,race=Black,0.8076923076923077,26,0.07203389830508475,236,0.9404761904761905,84,0.11387900355871886,281
gpt-5-mini,minimal,0.1,race=White,0.7741935483870968,31,0.09956709956709957,231,0.9213483146067416,89,0.13405797101449277,276
gpt-5-mini,minimal,0.1,gender=woman,0.75,28,0.07758620689655173,232,0.9195402298850575,87,0.11913357400722022,277
gpt-5-mini,minimal,0.1,gender=man,0.8275862068965517,29,0.09361702127659574,235,0.9418604651162791,86,0.12857142857142856,280
gpt-5-mini,minimal,0.1,has_anchor=yes,0.8,30,0.04310344827586207,232,0.9325842696629213,89,0.07971014492753623,276
