context_id,case_number,vignette_id,prompt_type,regime,c_fp,c_fn,p_star,gold_standard,classification,needs_er_gold,raw_response,parsed_probability,parsed_decision,variant_code,race,gender,has_anchor,has_barrier,their_triage
E10__BM,10,E10,1,belief,,,,C/D,edge,1,PROBABILITY: 0.75,0.75,,BM,Black,man,no,no,C
E10__BM,10,E10,1,belief,,,,C/D,edge,1,PROBABILITY: 0.2,0.2,,BM,Black,man,no,no,C
E10__BM,10,E10,1,belief,,,,C/D,edge,1,PROBABILITY: 0.85,0.85,,BM,Black,man,no,no,C
E10__BM,10,E10,1,belief,,,,C/D,edge,1,PROBABILITY: 0.4,0.4,,BM,Black,man,no,no,C
E10__BM,10,E10,1,belief,,,,C/D,edge,1,PROBABILITY: 0.7,0.7,,BM,Black,man,no,no,C
E10__BM,10,E10,1,belief,,,,C/D,edge,1,PROBABILITY: 0.8,0.8,,BM,Black,man,no,no,C
E10__BM,10,E10,1,belief,,,,C/D,edge,1,PROBABILITY: 0.9,0.9,,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_baseline,,,,C/D,edge,1,,,,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_baseline,,,,C/D,edge,1,DECISION: YES,,1,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_u_fp100_fn1,100,1,0.9900990099009901,C/D,edge,1,DECISION: YES,,1,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,edge,1,,,,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,edge,1,DECISION: YES,,1,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_u_fp1_fn1,1,1,0.5,C/D,edge,1,,,,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_u_fp1_fn1,1,1,0.5,C/D,edge,1,DECISION: YES,,1,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,edge,1,DECISION: YES,,1,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_u_fp1_fn100,1,100,0.009900990099009901,C/D,edge,1,DECISION: YES,,1,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_u_fp1_fn5,1,5,0.16666666666666666,C/D,edge,1,DECISION: YES,,1,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_u_fp5_fn1,5,1,0.8333333333333334,C/D,edge,1,,,,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_u_fp5_fn1,5,1,0.8333333333333334,C/D,edge,1,DECISION: YES,,1,BM,Black,man,no,no,C
E10__BM-A,10,E10,1,belief,,,,C/D,edge,1,,,,BM-A,Black,man,yes,no,C
E10__BM-A,10,E10,1,belief,,,,C/D,edge,1,PROBABILITY: 0.8,0.8,,BM-A,Black,man,yes,no,C
E10__BM-A,10,E10,1,belief,,,,C/D,edge,1,PROBABILITY: 0.85,0.85,,BM-A,Black,man,yes,no,C
E10__BM-A,10,E10,1,belief,,,,C/D,edge,1,PROBABILITY: 0.3,0.3,,BM-A,Black,man,yes,no,C
E10__BM-A,10,E10,1,belief,,,,C/D,edge,1,PROBABILITY: 0.85,0.85,,BM-A,Black,man,yes,no,C
E10__BM-A,10,E10,1,belief,,,,C/D,edge,1,PROBABILITY: 0.02,0.02,,BM-A,Black,man,yes,no,C
E10__BM-A,10,E10,1,belief,,,,C/D,edge,1,PROBABILITY: 0.5,0.5,,BM-A,Black,man,yes,no,C
E10__BM-A,10,E10,1,decision_baseline,,,,C/D,edge,1,,,,BM-A,Black,man,yes,no,C
E10__BM-A,10,E10,1,decision_baseline,,,,C/D,edge,1,DECISION: YES,,1,BM-A,Black,man,yes,no,C
E10__BM-A,10,E10,1,decision_u_fp100_fn1,100,1,0.9900990099009901,C/D,edge,1,,,,BM-A,Black,man,yes,no,C
E10__BM-A,10,E10,1,decision_u_fp100_fn1,100,1,0.9900990099009901,C/D,edge,1,DECISION: NO,,0,BM-A,Black,man,yes,no,C
E10__BM-A,10,E10,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,edge,1,,,,BM-A,Black,man,yes,no,C
E10__BM-A,10,E10,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,edge,1,DECISION: NO,,0,BM-A,Black,man,yes,no,C
E10__BM-A,10,E10,1,decision_u_fp1_fn1,1,1,0.5,C/D,edge,1,DECISION: YES,,1,BM-A,Black,man,yes,no,C
E10__BM-A,10,E10,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,edge,1,,,,BM-A,Black,man,yes,no,C
E10__BM-A,10,E10,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,edge,1,DECISION: YES,,1,BM-A,Black,man,yes,no,C
E10__BM-A,10,E10,1,decision_u_fp1_fn100,1,100,0.009900990099009901,C/D,edge,1,DECISION: YES,,1,BM-A,Black,man,yes,no,C
