model,reasoning,cell,ratio,ci_lo,ci_hi
gpt-5-mini,minimal,WM,7.242256760256151,4.904257881659078,11.023195658042045
gpt-5-mini,minimal,WW,6.288003816185425,4.774181241790547,8.405596905473002
gpt-5-mini,minimal,BM,4.997823789277584,2.541284883687156,7.956632768181345
gpt-5-mini,minimal,BW,6.991218936164065,4.013908855599491,10.300152203850578
gpt-5-mini,minimal,WM-A,7.252523623252297,4.760992012429037,10.667457913580886
gpt-5-mini,minimal,WW-A,6.4806444211127925,4.429865886569375,8.899298276406777
gpt-5-mini,minimal,BM-A,6.311120077804824,4.045192717161553,9.360389399863282
gpt-5-mini,minimal,BW-A,6.377382905344638,5.111755000051491,8.617366455437761
gpt-5-mini,minimal,WM-X,6.966863079643218,5.3668676680660425,9.08805123865909
gpt-5-mini,minimal,WW-X,4.879927419904281,3.1157354234159143,6.971928500680721
gpt-5-mini,minimal,BM-X,6.711814372434054,4.6173948036218455,9.027531575372128
gpt-5-mini,minimal,BW-X,6.779954305743254,5.22795182623573,8.719331331807197
gpt-5-mini,minimal,WM-AX,6.221684367841658,4.1144809077062074,9.153440284577949
gpt-5-mini,minimal,WW-AX,6.202108615529055,4.0025795697812905,8.864372421396908
gpt-5-mini,minimal,BM-AX,5.7486128467007855,3.7661436682831675,8.792826225961308
gpt-5-mini,minimal,BW-AX,6.590594473133735,3.5026837178176855,9.309032280876993
gpt-5-mini,medium,WM,3.8783220565469194,1.9967993022715969,6.138103179489778
gpt-5-mini,medium,WW,2.741867561865199,1.22180114689038,6.351417077482222
gpt-5-mini,medium,BM,5.625424510599737,2.770280067100402,9.152774447666037
gpt-5-mini,medium,BW,2.56469850117386,1.384435694703388,6.154498436657485
gpt-5-mini,medium,WM-A,1.982486492784369,0.6616549720148007,5.079215631334847
gpt-5-mini,medium,WW-A,4.31418844296552,1.7652494685994444,7.224044590791086
gpt-5-mini,medium,BM-A,4.729596829036761,2.505218272663848,7.33722794485333
gpt-5-mini,medium,BW-A,2.8758336501004993,1.4321706259666591,5.212792237546045
gpt-5-mini,medium,WM-X,5.294384904485479,2.8733134114994923,8.944741550511248
gpt-5-mini,medium,WW-X,2.845275929025562,1.4153006159104653,6.3404393514182535
gpt-5-mini,medium,BM-X,4.828823734160437,2.499684520864177,9.504209885799705
gpt-5-mini,medium,BW-X,6.027136497159714,3.8490791332775034,9.06246358640499
gpt-5-mini,medium,WM-AX,5.182121565839442,2.327432771937798,10.588260944421066
gpt-5-mini,medium,WW-AX,3.5800370515884503,1.7038398299388178,6.746252663873298
gpt-5-mini,medium,BM-AX,4.301302449714704,1.8063527891249427,6.898020813677188
gpt-5-mini,medium,BW-AX,3.120629516876434,1.3179939501571734,6.786987141295953
gpt-5-mini,high,WM,5.508677589676998,2.783184213420802,9.646892317915349
gpt-5-mini,high,WW,5.746943447474091,2.603012941577988,11.807225502990502
gpt-5-mini,high,BM,5.227459186055389,2.8832608688189882,8.98410937920461
gpt-5-mini,high,BW,4.590254955627645,2.663805153050134,7.685820390239109
gpt-5-mini,high,WM-A,6.215542665204995,4.679695168588015,9.467571749130526
gpt-5-mini,high,WW-A,5.601274148926467,2.897198359005154,9.12426740986983
gpt-5-mini,high,BM-A,5.300437147669371,3.0821716615551877,8.13101501896875
