context_id,case_number,vignette_id,prompt_type,regime,c_fp,c_fn,p_star,gold_standard,classification,needs_er_gold
E1,1,E1,1,belief,,,,C/D,Edge case,1
E1,1,E1,1,decision_baseline,,,,C/D,Edge case,1
E1,1,E1,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,Edge case,1
E1,1,E1,1,decision_u_fp5_fn1,5,1,0.8333333333333334,C/D,Edge case,1
E1,1,E1,1,decision_u_fp1_fn1,1,1,0.5,C/D,Edge case,1
E1,1,E1,1,decision_u_fp1_fn5,1,5,0.16666666666666666,C/D,Edge case,1
E1,1,E1,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,Edge case,1
F1,1,F1,2,belief,,,,C/D,Edge case,1
F1,1,F1,2,decision_baseline,,,,C/D,Edge case,1
F1,1,F1,2,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,Edge case,1
F1,1,F1,2,decision_u_fp5_fn1,5,1,0.8333333333333334,C/D,Edge case,1
F1,1,F1,2,decision_u_fp1_fn1,1,1,0.5,C/D,Edge case,1
F1,1,F1,2,decision_u_fp1_fn5,1,5,0.16666666666666666,C/D,Edge case,1
F1,1,F1,2,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,Edge case,1
E2,2,E2,1,belief,,,,B/C,Edge case,0
E2,2,E2,1,decision_baseline,,,,B/C,Edge case,0
E2,2,E2,1,decision_u_fp10_fn1,10,1,0.9090909090909091,B/C,Edge case,0
E2,2,E2,1,decision_u_fp5_fn1,5,1,0.8333333333333334,B/C,Edge case,0
E2,2,E2,1,decision_u_fp1_fn1,1,1,0.5,B/C,Edge case,0
E2,2,E2,1,decision_u_fp1_fn5,1,5,0.16666666666666666,B/C,Edge case,0
E2,2,E2,1,decision_u_fp1_fn10,1,10,0.09090909090909091,B/C,Edge case,0
F2,2,F2,2,belief,,,,B/C,Edge case,0
F2,2,F2,2,decision_baseline,,,,B/C,Edge case,0
F2,2,F2,2,decision_u_fp10_fn1,10,1,0.9090909090909091,B/C,Edge case,0
F2,2,F2,2,decision_u_fp5_fn1,5,1,0.8333333333333334,B/C,Edge case,0
