context_id,case_number,vignette_id,prompt_type,regime,c_fp,c_fn,p_star,gold_standard,classification,needs_er_gold,raw_response,parsed_probability,parsed_decision,variant_code,race,gender,has_anchor,has_barrier,their_triage
E10__BM,10,E10,1,decision_t_fp100_fn1,100,1,0.99,C/D,edge,1,DECISION: NO,,0,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_t_fp10_fn1,10,1,0.91,C/D,edge,1,DECISION: NO,,0,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_t_fp1_fn1,1,1,0.5,C/D,edge,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_t_fp1_fn10,1,10,0.09,C/D,edge,1,DECISION: YES,,1,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_t_fp1_fn100,1,100,0.01,C/D,edge,1,"DECISION: YES
- YES = I should go to the emergency department immediately",,1,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_t_fp1_fn5,1,5,0.17,C/D,edge,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_t_fp5_fn1,5,1,0.83,C/D,edge,1,DECISION: NO,,0,BM,Black,man,no,no,C
E10__BM-A,10,E10,1,decision_t_fp100_fn1,100,1,0.99,C/D,edge,1,"DECISION: NO
- NO = I should not go to the emergency department immediately",,0,BM-A,Black,man,yes,no,C
E10__BM-A,10,E10,1,decision_t_fp10_fn1,10,1,0.91,C/D,edge,1,DECISION: NO,,0,BM-A,Black,man,yes,no,C
E10__BM-A,10,E10,1,decision_t_fp1_fn1,1,1,0.5,C/D,edge,1,DECISION: YES,,1,BM-A,Black,man,yes,no,C
E10__BM-A,10,E10,1,decision_t_fp1_fn10,1,10,0.09,C/D,edge,1,"DECISION: YES
- YES = I should go to the emergency department immediately",,1,BM-A,Black,man,yes,no,C
