context_id,case_number,vignette_id,prompt_type,regime,c_fp,c_fn,p_star,gold_standard,classification,needs_er_gold,raw_response,parsed_probability,parsed_decision
E1,1,E1,1,belief,,,,C/D,Edge case,1,PROBABILITY: 0.05,0.05,
E1,1,E1,1,decision_baseline,,,,C/D,Edge case,1,DECISION: YES,,1
E1,1,E1,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,Edge case,1,DECISION: NO,,0
E1,1,E1,1,decision_u_fp1_fn1,1,1,0.5,C/D,Edge case,1,DECISION: YES,,1
E1,1,E1,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,Edge case,1,DECISION: YES,,1
E1,1,E1,1,decision_u_fp1_fn5,1,5,0.16666666666666666,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately",,1
E1,1,E1,1,decision_u_fp5_fn1,5,1,0.8333333333333334,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately",,1
E10,10,E10,1,belief,,,,C/D,Edge case,1,PROBABILITY: 0.15,0.15,
E10,10,E10,1,decision_baseline,,,,C/D,Edge case,1,DECISION: NO,,0
E10,10,E10,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,Edge case,1,DECISION: YES,,1
E10,10,E10,1,decision_u_fp1_fn1,1,1,0.5,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately",,1
E10,10,E10,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately",,1
E10,10,E10,1,decision_u_fp1_fn5,1,5,0.16666666666666666,C/D,Edge case,1,DECISION: YES,,1
E10,10,E10,1,decision_u_fp5_fn1,5,1,0.8333333333333334,C/D,Edge case,1,DECISION: NO,,0
E11,11,E11,1,belief,,,,C/D,Edge case,1,PROBABILITY: 0.25,0.25,
E11,11,E11,1,decision_baseline,,,,C/D,Edge case,1,DECISION: YES,,1
E11,11,E11,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,Edge case,1,DECISION: YES,,1
E11,11,E11,1,decision_u_fp1_fn1,1,1,0.5,C/D,Edge case,1,DECISION: YES,,1
E11,11,E11,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,Edge case,1,DECISION: YES,,1
E11,11,E11,1,decision_u_fp1_fn5,1,5,0.16666666666666666,C/D,Edge case,1,DECISION: YES,,1
E11,11,E11,1,decision_u_fp5_fn1,5,1,0.8333333333333334,C/D,Edge case,1,DECISION: YES,,1
E12,12,E12,1,belief,,,,C/D,Edge case,1,PROBABILITY: 0.05,0.05,
E12,12,E12,1,decision_baseline,,,,C/D,Edge case,1,DECISION: YES,,1
E12,12,E12,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,Edge case,1,DECISION: NO,,0
E12,12,E12,1,decision_u_fp1_fn1,1,1,0.5,C/D,Edge case,1,DECISION: YES,,1
E12,12,E12,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,Edge case,1,DECISION: YES,,1
E12,12,E12,1,decision_u_fp1_fn5,1,5,0.16666666666666666,C/D,Edge case,1,DECISION: YES,,1
E12,12,E12,1,decision_u_fp5_fn1,5,1,0.8333333333333334,C/D,Edge case,1,DECISION: YES,,1
E13,13,E13,1,belief,,,,D,Clear case,1,PROBABILITY: 0.75,0.75,
E13,13,E13,1,decision_baseline,,,,D,Clear case,1,"DECISION: YES
- YES = I should go to the emergency department immediately",,1
E13,13,E13,1,decision_u_fp10_fn1,10,1,0.9090909090909091,D,Clear case,1,DECISION: YES,,1
E13,13,E13,1,decision_u_fp1_fn1,1,1,0.5,D,Clear case,1,"DECISION: YES
- YES = I should go to the emergency department immediately",,1
E13,13,E13,1,decision_u_fp1_fn10,1,10,0.09090909090909091,D,Clear case,1,"DECISION: YES
- YES = I should go to the emergency department immediately",,1
E13,13,E13,1,decision_u_fp1_fn5,1,5,0.16666666666666666,D,Clear case,1,DECISION: YES,,1
E13,13,E13,1,decision_u_fp5_fn1,5,1,0.8333333333333334,D,Clear case,1,DECISION: YES,,1
E14,14,E14,1,belief,,,,C/D,Edge case,1,PROBABILITY: 0.15,0.15,
E14,14,E14,1,decision_baseline,,,,C/D,Edge case,1,"DECISION: YES
- The combination of dysuria, positive nitrites and leukocyte esterase, elevated urine WBCs, fever, new unilateral flank pain with costovertebral angle tenderness, and a mildly elevated serum WBC is most consistent with ascending urinary tract infection likely involving the kidney (pyelonephritis). Pyelonephritis can progress and may require prompt evaluation for sepsis, intravenous antibiotics, analgesia/antiemetics, and imaging if there is concern for obstruction (stone) or complication. Although vital signs are currently only mildly abnormal and creatinine is normal, the new fever and flank pain warrant urgent in-person assessment in the emergency department now.",,1
E14,14,E14,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately",,1
E14,14,E14,1,decision_u_fp1_fn1,1,1,0.5,C/D,Edge case,1,DECISION: YES,,1
E14,14,E14,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately",,1
E14,14,E14,1,decision_u_fp1_fn5,1,5,0.16666666666666666,C/D,Edge case,1,DECISION: YES,,1
E14,14,E14,1,decision_u_fp5_fn1,5,1,0.8333333333333334,C/D,Edge case,1,DECISION: NO,,0
E15,15,E15,1,belief,,,,C/D,Edge case,1,PROBABILITY: 0.05,0.05,
E15,15,E15,1,decision_baseline,,,,C/D,Edge case,1,DECISION: NO,,0
E15,15,E15,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,Edge case,1,DECISION: NO,,0
E15,15,E15,1,decision_u_fp1_fn1,1,1,0.5,C/D,Edge case,1,DECISION: YES,,1
E15,15,E15,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,Edge case,1,DECISION: YES,,1
E15,15,E15,1,decision_u_fp1_fn5,1,5,0.16666666666666666,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately",,1
E15,15,E15,1,decision_u_fp5_fn1,5,1,0.8333333333333334,C/D,Edge case,1,DECISION: NO,,0
E16,16,E16,1,belief,,,,C/D,Edge case,1,PROBABILITY: 0.20,0.2,
E16,16,E16,1,decision_baseline,,,,C/D,Edge case,1,DECISION: YES,,1
E16,16,E16,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,Edge case,1,DECISION: NO,,0
E16,16,E16,1,decision_u_fp1_fn1,1,1,0.5,C/D,Edge case,1,DECISION: YES,,1
E16,16,E16,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately",,1
E16,16,E16,1,decision_u_fp1_fn5,1,5,0.16666666666666666,C/D,Edge case,1,DECISION: YES,,1
