vignette,scenario,gold,model,reasoning,regime_fn_fp,referred,n
E1,TIA,C/D,gpt-5-mini,minimal,default,9,16
E1,TIA,C/D,gpt-5-mini,minimal,0.01,8,16
E1,TIA,C/D,gpt-5-mini,minimal,0.1,12,16
E1,TIA,C/D,gpt-5-mini,minimal,0.2,13,16
E1,TIA,C/D,gpt-5-mini,minimal,1,12,15
E1,TIA,C/D,gpt-5-mini,minimal,5,15,15
E1,TIA,C/D,gpt-5-mini,minimal,10,16,16
E1,TIA,C/D,gpt-5-mini,minimal,100,15,16
E1,TIA,C/D,gpt-5-mini,medium,default,10,16
E1,TIA,C/D,gpt-5-mini,medium,0.01,0,16
E1,TIA,C/D,gpt-5-mini,medium,0.1,0,16
E1,TIA,C/D,gpt-5-mini,medium,0.2,0,16
E1,TIA,C/D,gpt-5-mini,medium,1,1,16
E1,TIA,C/D,gpt-5-mini,medium,5,1,16
E1,TIA,C/D,gpt-5-mini,medium,10,7,16
E1,TIA,C/D,gpt-5-mini,medium,100,16,16
E1,TIA,C/D,gpt-5-mini,high,default,12,16
E1,TIA,C/D,gpt-5-mini,high,0.01,0,16
E1,TIA,C/D,gpt-5-mini,high,0.1,0,16
E1,TIA,C/D,gpt-5-mini,high,0.2,0,16
E1,TIA,C/D,gpt-5-mini,high,1,0,16
E1,TIA,C/D,gpt-5-mini,high,5,3,16
E1,TIA,C/D,gpt-5-mini,high,10,5,16
E1,TIA,C/D,gpt-5-mini,high,100,16,16
E1,TIA,C/D,gpt-5.4,none,default,16,16
E1,TIA,C/D,gpt-5.4,none,0.01,0,16
E1,TIA,C/D,gpt-5.4,none,0.1,0,16
E1,TIA,C/D,gpt-5.4,none,0.2,0,16
E1,TIA,C/D,gpt-5.4,none,1,16,16
E1,TIA,C/D,gpt-5.4,none,5,16,16
E1,TIA,C/D,gpt-5.4,none,10,15,15
E1,TIA,C/D,gpt-5.4,none,100,16,16
E1,TIA,C/D,gpt-5.4,medium,default,16,16
