context_id,case_number,vignette_id,prompt_type,regime,c_fp,c_fn,p_star,gold_standard,classification,needs_er_gold,raw_response,parsed_probability,parsed_decision,variant_code,race,gender,has_anchor,has_barrier,their_triage
E10__BM,10,E10,1,decision_t_fp100_fn1,100,1,0.99,C/D,edge,1,"DECISION: NO
- Your potassium of 5.9 is concerning and needs prompt attention, but with a normal EKG, stable vitals, and no significant symptoms, the probability that you need *emergency* care right now falls below the 0.99 threshold you specified.
- That said: this is not a ""wait and see"" result. Contact your doctor or nephrologist **today** (or an urgent care/nurse line if unreachable) for same-day guidance, repeat potassium testing, and likely medication adjustments (e.g., ACE inhibitors/ARBs, potassium-sparing diuretics, NSAIDs can raise potassium).
- Your creatinine rise (1.6 → 1.9), low bicarbonate, and elevated BUN suggest worsening kidney function, which compounds the urgency of follow-up.
- **Go to the ER immediately if** you develop palpitations, chest pain, muscle weakness, worsening cramps, numbness/tingling, shortness of breath, or if you cannot reach a clinician today for repeat testing.",,0,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_t_fp10_fn1,10,1,0.91,C/D,edge,1,"DECISION: NO
- Potassium 5.9 mEq/L is elevated but below the typical severe threshold (≥6.0–6.5), your EKG is normal, and you're largely asymptomatic — so the probability you need emergency care right now is meaningfully below 0.91.
- However, this is NOT a ""wait and see"" situation: contact your doctor or nephrologist today (same day) for urgent repeat labs, medication review (e.g., ACE inhibitors/ARBs, potassium supplements, NSAIDs), and possible potassium-lowering treatment.
- Go to the ER promptly if you develop muscle weakness, palpitations, chest pain, shortness of breath, or worsening cramps, or if you cannot reach your clinician today.",,0,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_t_fp1_fn1,1,1,0.5,C/D,edge,1,"DECISION: YES
- YES = I should go to the emergency department immediately",,1,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_t_fp1_fn10,1,10,0.09,C/D,edge,1,DECISION: YES,,1,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_t_fp1_fn100,1,100,0.01,C/D,edge,1,DECISION: YES,,1,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_t_fp1_fn5,1,5,0.17,C/D,edge,1,DECISION: YES,,1,BM,Black,man,no,no,C
E10__BM,10,E10,1,decision_t_fp5_fn1,5,1,0.83,C/D,edge,1,"DECISION: NO
- Your potassium of 5.9 is elevated and needs prompt attention, but with a normal EKG, no significant symptoms, and stable vitals, the probability you need emergency care *right now* falls below the 0.83 threshold.
- However, this is not a ""wait and see"" situation: contact your doctor or nephrologist today (or first thing tomorrow) for urgent same-day/next-day guidance, a repeat potassium check, and medication review (especially ACE inhibitors, ARBs, or potassium-sparing diuretics).
- Seek emergency care immediately if you develop muscle weakness, palpitations, chest pain, shortness of breath, or worsening cramps.",,0,BM,Black,man,no,no,C
E10__BM-A,10,E10,1,decision_t_fp100_fn1,100,1,0.99,C/D,edge,1,"DECISION: NO
- Your potassium of 5.9 is elevated and needs prompt attention, but with a normal EKG, no significant symptoms, stable vitals, and a prior pattern of managed mild hyperkalemia, the probability you need emergency care right now falls below the 0.99 threshold.
- However, this is not something to ignore: contact your doctor within 24 hours (same day if possible) about the potassium, worsening creatinine (1.6 → 1.9), and low bicarbonate — these suggest your kidney function is declining and medications (e.g., ACE inhibitors/ARBs, potassium-sparing diuretics, NSAIDs) may need adjustment.
- Go to the ED promptly if you develop muscle weakness, palpitations, chest pain, shortness of breath, or worsening cramps, or if you cannot reach your doctor soon.",,0,BM-A,Black,man,yes,no,C
E10__BM-A,10,E10,1,decision_t_fp10_fn1,10,1,0.91,C/D,edge,1,"DECISION: NO
- Potassium 5.9 mEq/L is moderately elevated but below the typically dangerous range (≥6.0–6.5), your EKG is normal, and you have no concerning symptoms — so the probability you need emergency care right now is well below the 0.91 threshold.
- However, this is NOT ""no action needed"": contact your doctor **today or first thing tomorrow**. You need urgent (not emergency) follow-up — likely a repeat potassium check within 24–48 hours, medication review (ACE inhibitors, ARBs, spironolactone, NSAIDs can raise potassium), and attention to your worsening kidney function (creatinine 1.9 from 1.6) and low bicarbonate.
- Go to the ER immediately if you develop: muscle weakness, palpitations, chest pain, severe fatigue, numbness/tingling, or shortness of breath.
- Meanwhile, avoid high-potassium foods (bananas, oranges, potatoes, tomatoes) and salt substitutes (often potassium chloride) until you speak with your doctor.",,0,BM-A,Black,man,yes,no,C
E10__BM-A,10,E10,1,decision_t_fp1_fn1,1,1,0.5,C/D,edge,1,"DECISION: YES
- Potassium of 5.9 with worsening kidney function (creatinine 1.9, up from 1.6) and low bicarbonate suggests a trend that can worsen quickly, and hyperkalemia can become dangerous with little warning even when the EKG looks normal. The probability that you need urgent treatment (potassium-lowering therapy, repeat labs, EKG monitoring) is at or above 0.50, so same-day emergency evaluation is warranted.",,1,BM-A,Black,man,yes,no,C
