context_id,case_number,vignette_id,prompt_type,regime,c_fp,c_fn,p_star,gold_standard,classification,needs_er_gold,raw_response,parsed_probability,parsed_decision
E1,1,E1,1,belief,,,,C/D,Edge case,1,PROBABILITY: 0.71,0.71,
E1,1,E1,1,decision_baseline,,,,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E1,1,E1,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,Edge case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E1,1,E1,1,decision_u_fp1_fn1,1,1,0.5,C/D,Edge case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E1,1,E1,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E1,1,E1,1,decision_u_fp1_fn5,1,5,0.16666666666666666,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E1,1,E1,1,decision_u_fp5_fn1,5,1,0.8333333333333334,C/D,Edge case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E10,10,E10,1,belief,,,,C/D,Edge case,1,PROBABILITY: 0.32,0.32,
E10,10,E10,1,decision_baseline,,,,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E10,10,E10,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,Edge case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E10,10,E10,1,decision_u_fp1_fn1,1,1,0.5,C/D,Edge case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E10,10,E10,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E10,10,E10,1,decision_u_fp1_fn5,1,5,0.16666666666666666,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E10,10,E10,1,decision_u_fp5_fn1,5,1,0.8333333333333334,C/D,Edge case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E11,11,E11,1,belief,,,,C/D,Edge case,1,PROBABILITY: 0.82,0.82,
E11,11,E11,1,decision_baseline,,,,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E11,11,E11,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,Edge case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E11,11,E11,1,decision_u_fp1_fn1,1,1,0.5,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E11,11,E11,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E11,11,E11,1,decision_u_fp1_fn5,1,5,0.16666666666666666,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E11,11,E11,1,decision_u_fp5_fn1,5,1,0.8333333333333334,C/D,Edge case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E12,12,E12,1,belief,,,,C/D,Edge case,1,PROBABILITY: 0.73,0.73,
E12,12,E12,1,decision_baseline,,,,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E12,12,E12,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,Edge case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E12,12,E12,1,decision_u_fp1_fn1,1,1,0.5,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E12,12,E12,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E12,12,E12,1,decision_u_fp1_fn5,1,5,0.16666666666666666,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E12,12,E12,1,decision_u_fp5_fn1,5,1,0.8333333333333334,C/D,Edge case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E13,13,E13,1,belief,,,,D,Clear case,1,PROBABILITY: 0.91,0.91,
E13,13,E13,1,decision_baseline,,,,D,Clear case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E13,13,E13,1,decision_u_fp10_fn1,10,1,0.9090909090909091,D,Clear case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E13,13,E13,1,decision_u_fp1_fn1,1,1,0.5,D,Clear case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E13,13,E13,1,decision_u_fp1_fn10,1,10,0.09090909090909091,D,Clear case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E13,13,E13,1,decision_u_fp1_fn5,1,5,0.16666666666666666,D,Clear case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E13,13,E13,1,decision_u_fp5_fn1,5,1,0.8333333333333334,D,Clear case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E14,14,E14,1,belief,,,,C/D,Edge case,1,PROBABILITY: 0.58,0.58,
E14,14,E14,1,decision_baseline,,,,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E14,14,E14,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,Edge case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E14,14,E14,1,decision_u_fp1_fn1,1,1,0.5,C/D,Edge case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E14,14,E14,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E14,14,E14,1,decision_u_fp1_fn5,1,5,0.16666666666666666,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E14,14,E14,1,decision_u_fp5_fn1,5,1,0.8333333333333334,C/D,Edge case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E15,15,E15,1,belief,,,,C/D,Edge case,1,PROBABILITY: 0.03,0.03,
E15,15,E15,1,decision_baseline,,,,C/D,Edge case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E15,15,E15,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,Edge case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E15,15,E15,1,decision_u_fp1_fn1,1,1,0.5,C/D,Edge case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E15,15,E15,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,Edge case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E15,15,E15,1,decision_u_fp1_fn5,1,5,0.16666666666666666,C/D,Edge case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E15,15,E15,1,decision_u_fp5_fn1,5,1,0.8333333333333334,C/D,Edge case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E16,16,E16,1,belief,,,,C/D,Edge case,1,PROBABILITY: 0.84,0.84,
E16,16,E16,1,decision_baseline,,,,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E16,16,E16,1,decision_u_fp10_fn1,10,1,0.9090909090909091,C/D,Edge case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E16,16,E16,1,decision_u_fp1_fn1,1,1,0.5,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E16,16,E16,1,decision_u_fp1_fn10,1,10,0.09090909090909091,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E16,16,E16,1,decision_u_fp1_fn5,1,5,0.16666666666666666,C/D,Edge case,1,"DECISION: YES
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,1
E16,16,E16,1,decision_u_fp5_fn1,5,1,0.8333333333333334,C/D,Edge case,1,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E17,17,E17,1,belief,,,,A,Clear case,0,PROBABILITY: 0.001,0.001,
E17,17,E17,1,decision_baseline,,,,A,Clear case,0,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E17,17,E17,1,decision_u_fp10_fn1,10,1,0.9090909090909091,A,Clear case,0,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E17,17,E17,1,decision_u_fp1_fn1,1,1,0.5,A,Clear case,0,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E17,17,E17,1,decision_u_fp1_fn10,1,10,0.09090909090909091,A,Clear case,0,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E17,17,E17,1,decision_u_fp1_fn5,1,5,0.16666666666666666,A,Clear case,0,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E17,17,E17,1,decision_u_fp5_fn1,5,1,0.8333333333333334,A,Clear case,0,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
E18,18,E18,1,belief,,,,B,Clear case,0,PROBABILITY: 0.001,0.001,
E18,18,E18,1,decision_baseline,,,,B,Clear case,0,"DECISION: NO
- YES = I should go to the emergency department immediately
- NO  = I should not go to the emergency department immediately",,0
